# k[h/Mpc]   R1   R2 
# 
4.5376e-03 1.7726e+01 -4.2375e+00
4.5796e-03 1.8167e+01 -4.3403e+00
4.6220e-03 1.8618e+01 -4.4456e+00
4.6648e-03 1.9080e+01 -4.5532e+00
4.7080e-03 1.9553e+01 -4.6632e+00
4.7516e-03 2.0037e+01 -4.7757e+00
4.7956e-03 2.0532e+01 -4.8908e+00
4.8400e-03 2.1039e+01 -5.0084e+00
4.8848e-03 2.1558e+01 -5.1287e+00
4.9300e-03 2.2089e+01 -5.2516e+00
4.9756e-03 2.2632e+01 -5.3773e+00
5.0217e-03 2.3187e+01 -5.5058e+00
5.0682e-03 2.3756e+01 -5.6371e+00
5.1151e-03 2.4338e+01 -5.7714e+00
5.1625e-03 2.4933e+01 -5.9085e+00
5.2102e-03 2.5542e+01 -6.0488e+00
5.2585e-03 2.6165e+01 -6.1920e+00
5.3072e-03 2.6802e+01 -6.3385e+00
5.3563e-03 2.7454e+01 -6.4881e+00
5.4059e-03 2.8121e+01 -6.6409e+00
5.4559e-03 2.8803e+01 -6.7971e+00
5.5064e-03 2.9500e+01 -6.9566e+00
5.5574e-03 3.0213e+01 -7.1196e+00
5.6089e-03 3.0943e+01 -7.2861e+00
5.6608e-03 3.1689e+01 -7.4562e+00
5.7132e-03 3.2451e+01 -7.6299e+00
5.7661e-03 3.3231e+01 -7.8072e+00
5.8195e-03 3.4029e+01 -7.9884e+00
5.8733e-03 3.4844e+01 -8.1734e+00
5.9277e-03 3.5677e+01 -8.3623e+00
5.9826e-03 3.6529e+01 -8.5551e+00
6.0380e-03 3.7400e+01 -8.7520e+00
6.0939e-03 3.8290e+01 -8.9530e+00
6.1503e-03 3.9200e+01 -9.1582e+00
6.2072e-03 4.0130e+01 -9.3676e+00
6.2647e-03 4.1080e+01 -9.5813e+00
6.3227e-03 4.2051e+01 -9.7995e+00
6.3812e-03 4.3044e+01 -1.0022e+01
6.4403e-03 4.4058e+01 -1.0249e+01
6.4999e-03 4.5094e+01 -1.0481e+01
6.5601e-03 4.6152e+01 -1.0718e+01
6.6208e-03 4.7234e+01 -1.0959e+01
6.6821e-03 4.8338e+01 -1.1205e+01
6.7440e-03 4.9467e+01 -1.1456e+01
6.8064e-03 5.0619e+01 -1.1712e+01
6.8694e-03 5.1796e+01 -1.1973e+01
6.9330e-03 5.2999e+01 -1.2240e+01
6.9972e-03 5.4226e+01 -1.2511e+01
7.0619e-03 5.5480e+01 -1.2788e+01
7.1273e-03 5.6760e+01 -1.3070e+01
7.1933e-03 5.8068e+01 -1.3358e+01
7.2599e-03 5.9402e+01 -1.3652e+01
7.3271e-03 6.0765e+01 -1.3951e+01
7.3949e-03 6.2155e+01 -1.4255e+01
7.4634e-03 6.3575e+01 -1.4566e+01
7.5325e-03 6.5024e+01 -1.4883e+01
7.6022e-03 6.6503e+01 -1.5205e+01
7.6726e-03 6.8012e+01 -1.5534e+01
7.7436e-03 6.9552e+01 -1.5868e+01
7.8153e-03 7.1124e+01 -1.6209e+01
7.8877e-03 7.2727e+01 -1.6557e+01
7.9607e-03 7.4363e+01 -1.6911e+01
8.0344e-03 7.6031e+01 -1.7271e+01
8.1088e-03 7.7733e+01 -1.7638e+01
