#       q          E0lin        Elin         E2lin      E0loop220    E0loop130    E0loop22     E0loop13     E2loop22     E2loop13      E1loop       E3loop         Xi          Zeta          Chi        U10lin         U3           U11          U20          V10          V12          X10          Y10          X20          Y20     
1.161466e-06 1.075461e+02 1.075465e+02 1.142635e-09 3.755310e+00 1.947944e+01 3.755961e+00 1.948235e+01 6.557842e-09 6.607086e-08 -1.623172e-07 -8.639664e-13 4.754941e+03 4.281370e+06 9.061351e+05 -2.509357e-03 -5.198302e-02 -2.343282e-01 -1.157038e-01 3.081611e-02 8.541417e-01 4.228051e-03 2.951940e-07 9.745407e-07 -1.694091e-07
1.164948e-06 1.075461e+02 1.075465e+02 1.147702e-09 3.755310e+00 1.947944e+01 3.755961e+00 1.948235e+01 6.587574e-09 6.634149e-08 -1.627361e-07 -8.693704e-13 4.748615e+03 4.269988e+06 9.037337e+05 -2.513012e-03 -5.206628e-02 -2.347018e-01 -1.158965e-01 3.086751e-02 8.544032e-01 4.227972e-03 2.964469e-07 9.777427e-07 -1.699774e-07
1.168441e-06 1.075461e+02 1.075465e+02 1.152792e-09 3.755310e+00 1.947944e+01 3.755961e+00 1.948235e+01 6.617441e-09 6.661322e-08 -1.631560e-07 -8.748082e-13 4.742298e+03 4.258637e+06 9.013387e+05 -2.516671e-03 -5.214968e-02 -2.350760e-01 -1.160896e-01 3.091898e-02 8.546647e-01 4.227892e-03 2.977051e-07 9.809552e-07 -1.705476e-07
1.171944e-06 1.075461e+02 1.075465e+02 1.157905e-09 3.755310e+00 1.947944e+01 3.755961e+00 1.948235e+01 6.647444e-09 6.688606e-08 -1.635770e-07 -8.802800e-13 4.735989e+03 4.247316e+06 8.989500e+05 -2.520336e-03 -5.223321e-02 -2.354509e-01 -1.162829e-01 3.097055e-02 8.549264e-01 4.227813e-03 2.989687e-07 9.841783e-07 -1.711197e-07
1.175458e-06 1.075461e+02 1.075465e+02 1.163040e-09 3.755310e+00 1.947944e+01 3.755961e+00 1.948235e+01 6.677583e-09 6.716002e-08 -1.639991e-07 -8.857861e-13 4.729689e+03 4.236026e+06 8.965676e+05 -2.524006e-03 -5.231687e-02 -2.358263e-01 -1.164766e-01 3.102220e-02 8.551881e-01 4.227734e-03 3.002376e-07 9.874120e-07 -1.716937e-07
1.178982e-06 1.075461e+02 1.075465e+02 1.168198e-09 3.755310e+00 1.947944e+01 3.755961e+00 1.948235e+01 6.707858e-09 6.743511e-08 -1.644222e-07 -8.913265e-13 4.723397e+03 4.224765e+06 8.941916e+05 -2.527682e-03 -5.240066e-02 -2.362023e-01 -1.166706e-01 3.107393e-02 8.554499e-01 4.227655e-03 3.015119e-07 9.906563e-07 -1.722696e-07
1.182517e-06 1.075461e+02 1.075465e+02 1.173379e-09 3.755310e+00 1.947944e+01 3.755961e+00 1.948235e+01 6.738271e-09 6.771132e-08 -1.648464e-07 -8.969017e-13 4.717113e+03 4.213534e+06 8.918219e+05 -2.531363e-03 -5.248459e-02 -2.365789e-01 -1.168649e-01 3.112575e-02 8.557117e-01 4.227576e-03 3.027916e-07 9.939113e-07 -1.728475e-07
1.186062e-06 1.075461e+02 1.075465e+02 1.178583e-09 3.755310e+00 1.947944e+01 3.755961e+00 1.948235e+01 6.768821e-09 6.798866e-08 -1.652716e-07 -9.025117e-13 4.710838e+03 4.202333e+06 8.894584e+05 -2.535049e-03 -5.256866e-02 -2.369561e-01 -1.170596e-01 3.117766e-02 8.559737e-01 4.227497e-03 3.040768e-07 9.971769e-07 -1.734273e-07
1.189618e-06 1.075461e+02 1.075465e+02 1.183810e-09 3.755310e+00 1.947944e+01 3.755961e+00 1.948235e+01 6.799510e-09 6.826714e-08 -1.656980e-07 -9.081568e-13 4.704571e+03 4.191162e+06 8.871012e+05 -2.538741e-03 -5.265286e-02 -2.373340e-01 -1.172546e-01 3.122966e-02 8.562357e-01 4.227418e-03 3.053673e-07 1.000453e-06 -1.740091e-07
1.193185e-06 1.075461e+02 1.075465e+02 1.189060e-09 3.755310e+00 1.947944e+01 3.755961e+00 1.948235e+01 6.830338e-09 6.854676e-08 -1.661253e-07 -9.138372e-13 4.698313e+03 4.180021e+06 8.847502e+05 -2.542438e-03 -5.273719e-02 -2.377124e-01 -1.174499e-01 3.128174e-02 8.564978e-01 4.227339e-03 3.066634e-07 1.003740e-06 -1.745928e-07
1.196762e-06 1.075461e+02 1.075465e+02 1.194334e-09 3.755310e+00 1.947944e+01 3.755961e+00 1.948235e+01 6.861306e-09 6.882752e-08 -1.665538e-07 -9.195531e-13 4.692063e+03 4.168909e+06 8.824055e+05 -2.546140e-03 -5.282166e-02 -2.380914e-01 -1.176455e-01 3.133391e-02 8.567600e-01 4.227260e-03 3.079650e-07 1.007038e-06 -1.751785e-07
1.200350e-06 1.075461e+02 1.075465e+02 1.199631e-09 3.755310e+00 1.947944e+01 3.755960e+00 1.948235e+01 6.892414e-09 6.910944e-08 -1.669833e-07 -9.253048e-13 4.685821e+03 4.157827e+06 8.800670e+05 -2.549848e-03 -5.290626e-02 -2.384710e-01 -1.178414e-01 3.138616e-02 8.570223e-01 4.227181e-03 3.092721e-07 1.010347e-06 -1.757661e-07
1.203949e-06 1.075461e+02 1.075465e+02 1.204951e-09 3.755310e+00 1.947944e+01 3.755960e+00 1.948235e+01 6.923664e-09 6.939251e-08 -1.674140e-07 -9.310925e-13 4.679587e+03 4.146774e+06 8.777347e+05 -2.553562e-03 -5.299100e-02 -2.388513e-01 -1.180377e-01 3.143850e-02 8.572847e-01 4.227102e-03 3.105847e-07 1.013667e-06 -1.763557e-07
1.207559e-06 1.075461e+02 1.075465e+02 1.210295e-09 3.755310e+00 1.947944e+01 3.755960e+00 1.948235e+01 6.955055e-09 6.967674e-08 -1.678457e-07 -9.369164e-13 4.673362e+03 4.135750e+06 8.754085e+05 -2.557280e-03 -5.307588e-02 -2.392321e-01 -1.182343e-01 3.149093e-02 8.575471e-01 4.227022e-03 3.119030e-07 1.016997e-06 -1.769473e-07
