# k[h/Mpc]   Q1   Q2    Q3    Q5    Q8     Qs2    
# 
4.1717e-04 1.2709e-04 -2.9816e-05 4.8812e-05 4.8636e-05 1.5478e-01 3.0917e-01
4.2103e-04 1.3179e-04 -3.0901e-05 5.0627e-05 5.0442e-05 1.5766e-01 3.1492e-01
4.2493e-04 1.3666e-04 -3.2024e-05 5.2509e-05 5.2315e-05 1.6059e-01 3.2076e-01
4.2886e-04 1.4170e-04 -3.3188e-05 5.4461e-05 5.4258e-05 1.6357e-01 3.2672e-01
4.3283e-04 1.4694e-04 -3.4395e-05 5.6485e-05 5.6272e-05 1.6661e-01 3.3279e-01
4.3684e-04 1.5237e-04 -3.5644e-05 5.8585e-05 5.8361e-05 1.6971e-01 3.3897e-01
4.4088e-04 1.5799e-04 -3.6939e-05 6.0762e-05 6.0527e-05 1.7287e-01 3.4526e-01
4.4496e-04 1.6383e-04 -3.8281e-05 6.3020e-05 6.2773e-05 1.7608e-01 3.5168e-01
4.4908e-04 1.6988e-04 -3.9670e-05 6.5362e-05 6.5103e-05 1.7936e-01 3.5821e-01
4.5324e-04 1.7615e-04 -4.1110e-05 6.7791e-05 6.7518e-05 1.8269e-01 3.6486e-01
4.5744e-04 1.8265e-04 -4.2601e-05 7.0309e-05 7.0023e-05 1.8609e-01 3.7163e-01
4.6167e-04 1.8939e-04 -4.4146e-05 7.2921e-05 7.2621e-05 1.8955e-01 3.7853e-01
4.6594e-04 1.9638e-04 -4.5747e-05 7.5630e-05 7.5315e-05 1.9308e-01 3.8556e-01
4.7026e-04 2.0362e-04 -4.7405e-05 7.8439e-05 7.8108e-05 1.9667e-01 3.9272e-01
4.7461e-04 2.1113e-04 -4.9123e-05 8.1352e-05 8.1005e-05 2.0032e-01 4.0001e-01
4.7901e-04 2.1892e-04 -5.0902e-05 8.4374e-05 8.4009e-05 2.0405e-01 4.0744e-01
4.8344e-04 2.2699e-04 -5.2746e-05 8.7506e-05 8.7123e-05 2.0784e-01 4.1500e-01
